63903.24,34307240,0.10919255
66360.08,44835080,0.12397847
78999.06,52147820,0.12296746
76484.22,57557710,0.14188148
77514.984,58831160,0.14698267
75890.94,56029850,0.13064112
73980.664,59677200,0.13629693
79623.836,60017250,0.13790983
77368.805,63370280,0.15175019
77597.43,55643790,0.13503052
77576.05,57865644,0.14007439
78207.86,47338250,0.11634545
79743.31,47763136,0.11539241
74148.4,45505948,0.10457092
71352.61,53811336,0.13021407
73179.37,53507804,0.14174275
71423,44856828,0.11030492
77452.27,50156340,0.12253352
80665.74,52658268,0.13517141
84767.5,60356316,0.14340459
77162.37,52881180,0.13277029
76429.23,47043044,0.11215383
78714.445,46140350,0.11023084
78635.27,52930124,0.12122945
