['11277.928'],['7320205.0'],['0.029000388']
['8002.053'],['10350692.0'],['0.035052255']
['10712.279'],['8386848.5'],['0.033906415']
['9193.871'],['4165849.8'],['0.021504873']
['9072.098'],['10068143.0'],['0.032317895']
['7476.0156'],['4752707.0'],['0.023365295']
['6084.9087'],['4717437.5'],['0.02294828']
['5608.6523'],['4820873.5'],['0.022104017']
['7165.3174'],['5690511.5'],['0.025240052']
['5000.905'],['4718280.0'],['0.021418734']
['5360.5293'],['2495921.2'],['0.015232286']
['4776.381'],['3617156.8'],['0.018407132']
['4499.792'],['3051810.0'],['0.01589945']
['5262.9263'],['3002125.2'],['0.01589945']
['4352.542'],['2518416.8'],['0.014751413']
['4150.6914'],['1863676.9'],['0.014072115']
['3336.179'],['2276564.0'],['0.014751413']
['4190.5776'],['2276564.0'],['2129596.0']
