['43091.39'],['22689774.0'],['0.073884815']
['45699.99'],['19128136.0'],['0.06405946']
['41621.52'],['15961119.0'],['0.05813653']
['41917.54'],['17591040.0'],['0.06410133']
['42882.793'],['19025348.0'],['0.06476606']
['42830.387'],['21215328.0'],['0.068250306']
['45979.125'],['14832693.0'],['0.05823095']
['45852.44'],['16957704.0'],['0.061916135']
['43131.418'],['16599230.0'],['0.058980282']
['42047.613'],['15272330.0'],['0.057994585']
['41631.2'],['19152104.0'],['0.06622615']
['46891.086'],['19679090.0'],['0.0679453']
['47600.117'],['22196176.0'],['0.07207961']
['45200.42'],['18721134.0'],['0.062957175']
['47500.016'],['17717818.0'],['0.062871285']
['42444.76'],['19195246.0'],['0.062914245']
['42366.723'],['14271076.0'],['0.05631036']
['43953.703'],['14271076.0'],['17128874.0']
